,SEQN,Age,Gender,BMI,Systolic_BP,Diastolic_BP,Glucose,HbA1c,Insulin,Total_Cholesterol,HDL_Cholesterol,Metabolic_Risk
count,3036.0,3036.0,3036.0,3036.0,3036.0,3036.0,3036.0,2899.0,3036.0,3036.0,3036.0,3036.0
mean,98359.56752305666,45.51054018445323,0.5177865612648221,28.926054018445324,123.84837505489678,70.66480017566974,111.33498023715416,5.7857192135219035,14.34883399209486,181.1320816864295,53.363965744400524,0.3847167325428195
std,2696.4741279348473,20.983437908565726,0.4997658514979411,7.487527886258132,19.99902140920237,13.031921136519944,34.73693240413861,1.0591884557347708,19.689600001729676,40.22930990830067,14.703268392914614,0.48660842736049353
min,93708.0,12.0,0.0,14.6,74.0,5.397605346934028e-79,47.0,3.8,0.71,76.0,11.0,0.0
25%,96028.0,26.0,0.0,23.9,110.0,64.0,96.0,5.2,6.5875,154.0,43.0,0.0
50%,98342.0,46.0,1.0,27.8,120.0,70.66666666666667,102.0,5.5,10.04,177.0,51.0,0.0
75%,100715.5,63.0,1.0,32.8,133.33333333333334,77.33333333333333,112.0,5.9,15.7475,204.0,60.0,1.0
max,102956.0,80.0,1.0,86.2,224.66666666666663,135.33333333333334,451.0,15.2,485.1,446.0,178.0,1.0
